               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/Tank_mAP, metrics/Tank_mAP_50
                   0,             0.12358,            0.033795,                   0,            0.049073,            0.065934,            0.013951,           0.0048525,             0.12761,            0.026133,                   0,              0.0937,              0.0007,              0.0007,           0.0048525,            0.013951
                   1,                 0.1,             0.03185,                   0,             0.17422,            0.054945,            0.020846,           0.0069896,             0.10965,            0.025551,                   0,            0.086475,           0.0014752,           0.0014752,           0.0069896,            0.020846
                   2,             0.10209,            0.032022,                   0,             0.15512,            0.065934,            0.027375,            0.010431,            0.084561,            0.023968,                   0,            0.079224,           0.0022241,           0.0022241,            0.010431,            0.027375
                   3,            0.078675,            0.030997,                   0,             0.32193,             0.14286,            0.092162,            0.028706,            0.076358,            0.022062,                   0,            0.071947,           0.0029465,           0.0029465,            0.028706,            0.092162
                   4,            0.065418,            0.029671,                   0,             0.30388,             0.34541,             0.16628,            0.063015,            0.067934,            0.019322,                   0,            0.064643,           0.0036426,           0.0036426,            0.063015,             0.16628
                   5,            0.075766,            0.029874,                   0,             0.45129,             0.36264,             0.31369,             0.12838,            0.064793,            0.018022,                   0,            0.057312,           0.0043123,           0.0043123,             0.12838,             0.31369
                   6,            0.060539,            0.027254,                   0,             0.40333,             0.52747,             0.30021,            0.082054,            0.072347,            0.017129,                   0,            0.049955,           0.0049555,           0.0049555,            0.082054,             0.30021
                   7,            0.071201,            0.024592,                   0,             0.15898,             0.40659,             0.12716,             0.04265,            0.067961,            0.016861,                   0,            0.042572,           0.0055724,           0.0055724,             0.04265,             0.12716
                   8,            0.058778,            0.023345,                   0,             0.18329,             0.51648,              0.1997,            0.057415,            0.073763,            0.014498,                   0,            0.035163,           0.0061628,           0.0061628,            0.057415,              0.1997
                   9,            0.068377,            0.024729,                   0,             0.46465,             0.51505,             0.49794,             0.19207,            0.067676,             0.01277,                   0,            0.027727,           0.0067268,           0.0067268,             0.19207,             0.49794
                  10,            0.071127,            0.023846,                   0,              0.3307,             0.38462,             0.32814,            0.098847,            0.072147,            0.011185,                   0,            0.020264,           0.0072645,           0.0072645,            0.098847,             0.32814
                  11,            0.056864,            0.020482,                   0,             0.53948,             0.47635,             0.54214,             0.21043,            0.066303,            0.010522,                   0,            0.012776,           0.0077757,           0.0077757,             0.21043,             0.54214
                  12,            0.056016,            0.020186,                   0,             0.41168,             0.53846,             0.44327,              0.2254,             0.06946,            0.010187,                   0,             0.00802,             0.00802,             0.00802,              0.2254,             0.44327
                  13,            0.067516,            0.022397,                   0,             0.26322,             0.43956,              0.3134,             0.16202,             0.07679,           0.0089101,                   0,             0.00802,             0.00802,             0.00802,             0.16202,              0.3134
                  14,            0.076613,            0.019547,                   0,             0.65429,             0.50549,              0.5958,             0.24796,            0.068105,           0.0088679,                   0,            0.007855,            0.007855,            0.007855,             0.24796,              0.5958
                  15,            0.065026,            0.020421,                   0,             0.68262,             0.70908,             0.76191,             0.37823,            0.059816,            0.009375,                   0,             0.00769,             0.00769,             0.00769,             0.37823,             0.76191
                  16,            0.050909,            0.022889,                   0,             0.69124,             0.62637,             0.73975,             0.24081,            0.069664,            0.009247,                   0,            0.007525,            0.007525,            0.007525,             0.24081,             0.73975
                  17,            0.057675,            0.022518,                   0,             0.73164,             0.67033,             0.75906,             0.36759,            0.074092,           0.0084644,                   0,             0.00736,             0.00736,             0.00736,             0.36759,             0.75906
                  18,            0.047948,            0.019573,                   0,             0.52708,             0.78022,             0.69784,             0.26644,            0.076297,           0.0088659,                   0,            0.007195,            0.007195,            0.007195,             0.26644,             0.69784
                  19,            0.044628,            0.021507,                   0,             0.51816,             0.58242,             0.55869,             0.23455,            0.062052,           0.0087919,                   0,             0.00703,             0.00703,             0.00703,             0.23455,             0.55869
                  20,            0.056466,             0.01816,                   0,             0.79206,              0.8022,             0.85324,             0.41696,            0.049509,           0.0087679,                   0,            0.006865,            0.006865,            0.006865,             0.41696,             0.85324
                  21,            0.051205,            0.021359,                   0,              0.5564,             0.73626,             0.67942,             0.35834,            0.052608,           0.0081828,                   0,              0.0067,              0.0067,              0.0067,             0.35834,             0.67942
                  22,            0.049518,            0.019412,                   0,             0.54539,             0.84615,             0.69139,             0.35558,            0.050318,           0.0081312,                   0,            0.006535,            0.006535,            0.006535,             0.35558,             0.69139
                  23,            0.042893,            0.019636,                   0,             0.57357,             0.84615,              0.7363,             0.34244,            0.051574,           0.0080905,                   0,             0.00637,             0.00637,             0.00637,             0.34244,              0.7363
                  24,            0.047478,            0.020849,                   0,             0.71607,             0.75824,             0.76088,             0.41397,              0.0429,           0.0081429,                   0,            0.006205,            0.006205,            0.006205,             0.41397,             0.76088
                  25,            0.037176,            0.018439,                   0,             0.63964,             0.78022,             0.76762,             0.47827,            0.043455,           0.0080772,                   0,             0.00604,             0.00604,             0.00604,             0.47827,             0.76762
                  26,            0.043124,            0.016855,                   0,             0.72761,             0.73626,             0.80561,             0.47891,            0.047205,           0.0076893,                   0,            0.005875,            0.005875,            0.005875,             0.47891,             0.80561
                  27,            0.046755,            0.015616,                   0,             0.68838,             0.82536,             0.82841,             0.42883,            0.044317,           0.0077128,                   0,             0.00571,             0.00571,             0.00571,             0.42883,             0.82841
                  28,            0.043794,             0.01728,                   0,              0.5392,             0.82296,             0.71073,             0.30738,            0.045741,           0.0074664,                   0,            0.005545,            0.005545,            0.005545,             0.30738,             0.71073
                  29,            0.045732,            0.017834,                   0,              0.9015,             0.90518,             0.90949,             0.50707,            0.039675,            0.007166,                   0,             0.00538,             0.00538,             0.00538,             0.50707,             0.90949
                  30,            0.046839,            0.018109,                   0,             0.81031,             0.91209,             0.85815,             0.51116,             0.04119,           0.0071988,                   0,            0.005215,            0.005215,            0.005215,             0.51116,             0.85815
                  31,             0.03623,            0.018402,                   0,             0.85245,             0.91209,             0.89372,             0.54889,            0.037597,           0.0069488,                   0,             0.00505,             0.00505,             0.00505,             0.54889,             0.89372
                  32,            0.045311,            0.017783,                   0,             0.90829,             0.91209,             0.94244,             0.52204,            0.036981,           0.0068907,                   0,            0.004885,            0.004885,            0.004885,             0.52204,             0.94244
